Timestamp,Shape,Color
2024-10-07 16:50:38.048066,Rectangle,undefined
2024-10-07 16:50:38.077479,Rectangle,undefined
2024-10-07 16:50:38.079123,Circle,undefined
2024-10-07 16:50:38.080818,Rectangle,undefined
2024-10-07 16:50:38.105618,Circle,yellow
2024-10-07 16:50:38.107033,Rectangle,undefined
2024-10-07 16:50:38.140050,Circle,yellow
2024-10-07 16:50:38.141609,Rectangle,undefined
2024-10-07 16:50:38.174623,Rectangle,undefined
2024-10-07 16:50:38.175953,Rectangle,undefined
2024-10-07 16:50:38.207880,Rectangle,undefined
2024-10-07 16:50:38.209384,Rectangle,undefined
2024-10-07 16:50:38.239404,Pentagon,undefined
2024-10-07 16:50:38.240841,Rectangle,undefined
2024-10-07 16:50:38.277383,Circle,undefined
2024-10-07 16:50:38.279073,Rectangle,undefined
2024-10-07 16:50:38.308314,Triangle,undefined
2024-10-07 16:50:38.310278,Rectangle,undefined
2024-10-07 16:50:38.341015,Rectangle,undefined
2024-10-07 16:50:38.342713,Rectangle,undefined
2024-10-07 16:50:38.372276,Rectangle,undefined
2024-10-07 16:50:38.374034,Circle,undefined
2024-10-07 16:50:38.409195,Rectangle,undefined
2024-10-07 16:50:38.410868,Rectangle,undefined
2024-10-07 16:50:38.436637,Circle,undefined
2024-10-07 16:50:38.437057,Rectangle,undefined
2024-10-07 16:50:38.473499,Rectangle,undefined
2024-10-07 16:50:38.475163,Rectangle,undefined
2024-10-07 16:50:38.508886,Circle,undefined
2024-10-07 16:50:38.510713,Rectangle,undefined
2024-10-07 16:50:38.541629,Circle,undefined
2024-10-07 16:50:38.543257,Rectangle,undefined
2024-10-07 16:50:38.572923,Circle,undefined
2024-10-07 16:50:38.574736,Rectangle,undefined
2024-10-07 16:50:38.604077,Pentagon,undefined
2024-10-07 16:50:38.605579,Rectangle,undefined
2024-10-07 16:50:38.640677,Pentagon,undefined
2024-10-07 16:50:38.642442,Rectangle,undefined
2024-10-07 16:50:38.673383,Rectangle,undefined
2024-10-07 16:50:38.675423,Rectangle,undefined
2024-10-07 16:50:38.704629,Rectangle,undefined
2024-10-07 16:50:38.706352,Rectangle,undefined
2024-10-07 16:50:38.741461,Circle,undefined
2024-10-07 16:50:38.743491,Rectangle,undefined
2024-10-07 16:50:38.772726,Rectangle,undefined
2024-10-07 16:50:38.774430,Rectangle,undefined
2024-10-07 16:50:38.805378,Circle,undefined
2024-10-07 16:50:38.807212,Rectangle,undefined
2024-10-07 16:50:38.836597,Pentagon,undefined
2024-10-07 16:50:38.838255,Rectangle,undefined
2024-10-07 16:50:38.873441,Circle,undefined
2024-10-07 16:50:38.875307,Rectangle,undefined
2024-10-07 16:50:38.904967,Circle,undefined
2024-10-07 16:50:38.906520,Rectangle,undefined
2024-10-07 16:50:38.937441,Rectangle,undefined
2024-10-07 16:50:38.939306,Rectangle,undefined
2024-10-07 16:50:38.972846,Circle,undefined
2024-10-07 16:50:38.974508,Rectangle,undefined
2024-10-07 16:50:39.005705,Pentagon,undefined
2024-10-07 16:50:39.007374,Rectangle,undefined
2024-10-07 16:50:39.036401,Rectangle,undefined
2024-10-07 16:50:39.038245,Rectangle,undefined
2024-10-07 16:50:39.068955,Rectangle,undefined
2024-10-07 16:50:39.070560,Rectangle,undefined
2024-10-07 16:50:39.137472,Rectangle,undefined
2024-10-07 16:50:39.139295,Rectangle,undefined
